Round,Date,Day,Time,GameTimePK,Statement
5,25/05/2019,Sat,19:00,r5_sat_20190525_1900,"r5_sat_20190525_1900 = GameTime(round= 5, when=datetime(year=2019, month=5, day=25, hour=19, minute=0))"
5,26/05/2019,Sun,08:30,r5_sun_20190526_0830,"r5_sun_20190526_0830 = GameTime(round= 5, when=datetime(year=2019, month=5, day=26, hour=8, minute=30))"
5,26/05/2019,Sun,10:00,r5_sun_20190526_1000,"r5_sun_20190526_1000 = GameTime(round= 5, when=datetime(year=2019, month=5, day=26, hour=10, minute=0))"
5,26/05/2019,Sun,11:30,r5_sun_20190526_1130,"r5_sun_20190526_1130 = GameTime(round= 5, when=datetime(year=2019, month=5, day=26, hour=11, minute=30))"
5,26/05/2019,Sun,13:00,r5_sun_20190526_1300,"r5_sun_20190526_1300 = GameTime(round= 5, when=datetime(year=2019, month=5, day=26, hour=13, minute=0))"
5,26/05/2019,Sun,15:00,r5_sun_20190526_1500,"r5_sun_20190526_1500 = GameTime(round= 5, when=datetime(year=2019, month=5, day=26, hour=15, minute=0))"
6,01/06/2019,Sat,08:30,r6_sat_20190601_0830,"r6_sat_20190601_0830 = GameTime(round= 6, when=datetime(year=2019, month=6, day=1, hour=8, minute=30))"
6,01/06/2019,Sat,10:00,r6_sat_20190601_1000,"r6_sat_20190601_1000 = GameTime(round= 6, when=datetime(year=2019, month=6, day=1, hour=10, minute=0))"
6,01/06/2019,Sat,11:30,r6_sat_20190601_1130,"r6_sat_20190601_1130 = GameTime(round= 6, when=datetime(year=2019, month=6, day=1, hour=11, minute=30))"
6,01/06/2019,Sat,13:00,r6_sat_20190601_1300,"r6_sat_20190601_1300 = GameTime(round= 6, when=datetime(year=2019, month=6, day=1, hour=13, minute=0))"
6,01/06/2019,Sat,15:00,r6_sat_20190601_1500,"r6_sat_20190601_1500 = GameTime(round= 6, when=datetime(year=2019, month=6, day=1, hour=15, minute=0))"
6,01/06/2019,Sat,17:00,r6_sat_20190601_1700,"r6_sat_20190601_1700 = GameTime(round= 6, when=datetime(year=2019, month=6, day=1, hour=17, minute=0))"
